DateTime,Temperature,Humidity,Pressure,VOC,MQ5,Dust
Tue Apr 21 11:23:05 2020, 20.73,52.56,1006.95,26.17,6.5,83.99, 
Tue Apr 21 11:24:46 2020, 20.75,52.46,1006.97,25.95,6.5,56.06, 
Tue Apr 21 11:26:28 2020, 20.75,52.35,1006.93,25.74,6.5,35.17, 
Tue Apr 21 11:28:10 2020, 20.75,52.21,1006.93,25.44,6.5,114.98, 
Tue Apr 21 11:29:51 2020, 20.76,52.23,1006.91,25.49,6.5,128.32, 
Tue Apr 21 11:31:33 2020, 20.8,52.29,1006.89,25.61,6.5,89.01, 
Tue Apr 21 11:33:15 2020, 20.82,52.38,1006.88,25.79,6.5,34.34, 
Tue Apr 21 11:34:56 2020, 20.8,52.22,1006.89,25.46,6.5,136.96, 
Tue Apr 21 11:36:38 2020, 20.81,52.28,1006.8,25.59,6.5,36.01, 
Tue Apr 21 11:38:20 2020, 20.85,52.26,1006.82,25.54,6.5,118.83, 
Tue Apr 21 11:40:01 2020, 20.85,53.38,1006.78,27.86,6.5,92.87, 
Tue Apr 21 11:41:43 2020, 20.89,53.41,1006.84,27.93,6.5,45.91, 
Tue Apr 21 11:43:25 2020, 20.87,53.49,1006.84,28.11,6.5,124.15, 
Tue Apr 21 11:45:06 2020, 20.92,53.61,1006.86,28.35,6.5,83.69, 
Tue Apr 21 11:46:48 2020, 20.97,53.39,1006.88,27.89,6.5,26.37, 
Tue Apr 21 11:48:29 2020, 20.98,53.14,1006.86,27.38,6.5,80.37, 
Tue Apr 21 11:50:11 2020, 20.99,53.22,1006.84,27.55,6.5,40.89, 
Tue Apr 21 11:51:53 2020, 21.13,52.95,1006.86,26.98,6.5,48.39, 
