DateTime,Temperature,Humidity,Pressure,VOC,MQ5,Dust
Tue Apr 21 11:30:42 2020, 17.45,50.82,1006.54,22.55,6.5,53.35, 
Tue Apr 21 11:32:24 2020, 17.46,50.75,1006.54,22.4,6.5,17.49, 
Tue Apr 21 11:34:05 2020, 17.47,50.66,1006.66,22.2,6.5,106.62, 
Tue Apr 21 11:35:47 2020, 17.48,50.6,1006.6,22.09,6.5,13.91, 
Tue Apr 21 11:37:29 2020, 17.49,50.54,1006.6,21.95,6.5,119.68, 
Tue Apr 21 11:39:10 2020, 17.49,50.46,1006.6,21.78,6.5,86.45, 
Tue Apr 21 11:40:52 2020, 17.5,50.44,1006.62,21.74,6.5,44.89, 
Tue Apr 21 11:42:33 2020, 17.51,50.37,1006.54,21.59,6.5,50.4, 
Tue Apr 21 11:44:15 2020, 17.53,50.38,1006.56,21.62,6.5,94.79, 
Tue Apr 21 11:45:57 2020, 17.54,50.31,1006.6,21.49,6.5,148.75, 
Tue Apr 21 11:47:38 2020, 17.56,50.32,1006.45,21.5,6.5,45.37, 
Tue Apr 21 11:49:20 2020, 17.57,50.24,1006.54,21.34,6.5,45.53, 
